course,title,link,description
"HPL Products","HPL 101 - Part 1","https://s3.ap-south-1.amazonaws.com/mymerino-assets/academy-productions/lcm_hpl_hpl101_part1.mp4","Learn the basics of HPL with HPL101 Part 1 Training Module"
"HPL Products","HPL 101 - Part 2","https://s3.ap-south-1.amazonaws.com/mymerino-assets/academy-productions/lcm_hpl_hpl101_part2.mp4","Learn the basics of HPL with HPL101 Part 2 Training Module"
"HPL Products","AB+ Decorative Laminates","https://s3.ap-south-1.amazonaws.com/mymerino-assets/academy-productions/lcm_hpl_ab.mp4","Learn the basics of Antibacterial Laminates with AB+ Training Module"
"HPL Products","CHEM+ Decorative Laminates","https://s3.ap-south-1.amazonaws.com/mymerino-assets/academy-productions/lcm_hpl_chem.mp4","Learn the basics of Chemical Resistant Laminates with CHEM+ Training Module"
"HPL Products","FINGUARD+ Decorative Laminates","https://s3.ap-south-1.amazonaws.com/mymerino-assets/academy-productions/lcm_hpl_finguard.mp4","Learn the basics of Fingerprint Resistant Laminates withFINGUARD+ Training Module"
"HPL Products","FR+ Decorative Laminates","https://s3.ap-south-1.amazonaws.com/mymerino-assets/academy-productions/lcm_hpl_fr.mp4","Learn the basics of Fire Resistant Laminates with FR+ Training Module"
"HPL Products","IMAGINO Decorative Laminates","https://s3.ap-south-1.amazonaws.com/mymerino-assets/academy-productions/lcm_hpl_imagino.mp4","Learn the basics of Digital Laminates with IMAGINO Training Module"
"HPL Products","METALAM Decorative Laminates","https://s3.ap-south-1.amazonaws.com/mymerino-assets/academy-productions/lcm_hpl_metalam.mp4","Learn the basics of Metal Foil Laminates with METALAM Training Module"
"HPL Products","TUFF GLOSS MR+ Decorative Laminates","https://s3.ap-south-1.amazonaws.com/mymerino-assets/academy-productions/lcm_hpl_mr.mp4","Learn the basics of MAR Resistant High Gloss Laminates with TUFF GLOSS MR+ Training Module"
"HPL Products","UNI+ Decorative Laminates","https://s3.ap-south-1.amazonaws.com/mymerino-assets/academy-productions/lcm_hpl_unicolor.mp4","Learn the basics of Colored Core Laminates with UNI+ Training Module"
"Compact Products","Shaurya IWC ","https://s3.ap-south-1.amazonaws.com/mymerino-assets/academy-productions/lcm_compacts_shaurya_iwc.mp4","Learn the basics of Interior Wall Cladding with Shaurya IWC Training Module"
"Panel Products","GLOSSMEISTER PANELS","https://s3.ap-south-1.amazonaws.com/mymerino-assets/academy-productions/lcm_panel_glossmeister.mp4","Learn the basics of Glossmeister Panels with GLOSSMEISTER Training Module"
"Humrahi Training","Humrahi Guide","https://s3.ap-south-1.amazonaws.com/mymerino-assets/academy-productions/humrahi_1.pdf","Learn about Merino Humrahi with Humrahi Training Module"